index,Laptop Brand, Processor Brand ,Clock Speed,Cache,Number of Cores,SSD Capacity,HDD Capacity,RAM,Graphic Processor,Dedicated Graphic Memory Capacity,Screen Size,Screen Resolution,Battery Cell,Weight,Cost,Link
0,HP,Intel,Max Turbo Boost at 4.4 GHz,12 MB,10,512 GB,1 TB,16 GB,Intel Integrated Iris Xe,4 GB,35.56 cm (14 inch),1920 x 1080 Pixels,3 Cell,1.41 Kg kg,"₹58,499",https://www.flipkart.com/hp-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14s-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGG3S93DSUQPMU.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
1,HP,Intel,1.7 GHz Upto Max Turbo Frequency at 4.1 GHz,8,4,256 GB,,8 GB,Intel Integrated UHD,4 GB,35.56 cm (14 inch),1920 x 1080 Pixel,3 Cell,1.46 kg,"₹38,990",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2506tu-thin-light-laptop/p/itm6e9f19b41d9c9?pid=COMG92FXHPYEN44H&lid=LSTCOMG92FXHPYEN44HKXQR8G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG92FXHPYEN44H.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
2,HP,AMD,2.6 GHz with Turbo Boost Upto 3.5 GHz,5 MB,2,256 GB,,8 GB,AMD Radeon Vega 6,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,1.82 kg,"₹38,999",https://www.flipkart.com/hp-15s-ryzen-3-dual-core-3250u-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-15s-gr0012au-laptop/p/itm9e1f8deeed35f?pid=COMFZHFWBE7APPH2&lid=LSTCOMFZHFWBE7APPH2PLTTEQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMFZHFWBE7APPH2.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
3,HP,AMD,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,8,6,512 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,1.69 kg,"₹47,490",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itm1eb242c8ec463?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGBH9JDPVGD8BH.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
4,HP,Intel,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",6 MB,2,512 GB,,8 GB,Intel Integrated UHD,,35.56 cm (14 inch),1920 x 1080 Pixel,3 Cell,1.41 kg,"₹40,990",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
5,HP,Intel,"1.3 GHz upto Max 4.4 GHz,",12,2,512 GB,,8 GB,Intel Integrated Iris Xe,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 Cell,1.69 Kg,"₹56,490",https://www.flipkart.com/hp-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5111tu-thin-light-laptop/p/itmbecf654716fd5?pid=COMGG63HGDTFCCGW&lid=LSTCOMGG63HGDTFCCGWLETTA9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGG63HGDTFCCGW.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
6,HP,Intel,Up to 4.1 GHz,6,8,256 GB,,8 GB,Intel Integrated UHD Graphics,,35.56 cm (14 inch),1920 x 1080 Pixel,3,1.41 Kg,"₹38,490",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYQPFKJJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
7,HP,AMD,4.4,16,6,1 TB,,16 GB,AMD Radeon AMD Radeon,,33.78 cm (13.3 Inch),1920 x 1200 Pixel,3,0.97 Kg,"₹74,490",https://www.flipkart.com/hp-pavilion-ryzen-7-octa-core-5800u-16-gb-1-tb-ssd-windows-11-home-13-be0208au-thin-light-laptop/p/itmf23bd08a9fa3c?pid=COMG8CY8EZG2SHRW&lid=LSTCOMG8CY8EZG2SHRWCUV70X&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG8CY8EZG2SHRW.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
8,HP,AMD,3.3 GHz with Turbo Boost Upto 4.2 GHz,16MB,4,512 GB,,8 GB,NVIDIA GeForce GTX 1650,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,1.98 kg,"₹58,990",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
9,HP,AMD,2.3 GHz upto max turbo frequency at 3.2 Ghz,4,6,512 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 Cell,1.69 Kg,"₹34,999",https://www.flipkart.com/hp-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm805c7d908648d?pid=COMGG63HRV3GFN4G&lid=LSTCOMGG63HRV3GFN4GQCQPAT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGG63HRV3GFN4G.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
10,HP,Intel,1.7 GHz upto max turbo frequency at 3.7 Ghz,8,6,256 GB,,8 GB,Intel Integrated UHD,,35.56 cm (14 inch),1920 x 1080 pixel,3 cell,1.52 kg,"₹47,990",https://www.flipkart.com/hp-pavilion-x360-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14-dy0190tu-2-1-laptop/p/itm2485c56a6d60d?pid=COMGA3743UQM5QZ4&lid=LSTCOMGA3743UQM5QZ4ZQUM2L&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGA3743UQM5QZ4.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
11,HP,AMD,2.4 GHz upto max turbo frequency at 4.3 Ghz,16,6,512 GB,,16 GB,AMD Radeon AMD,,35.56 cm (14 inch),1920 x 1080 Pixel,3 Cell,1.41 kg,"₹60,990",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-14-ec1019au-thin-light-laptop/p/itma87dcdbbd87a3?pid=COMGDSFCWQY5EFZB&lid=LSTCOMGDSFCWQY5EFZBI2IRJS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGDSFCWQY5EFZB.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
12,HP,AMD,Up to 4.0 GHz max boost clock,8,4,512 GB,,16 GB,AMD Radeon Radeon Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,3,1.69 Kg,"₹53,990",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9C3FOYP9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
